,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
63,Chokurdakh,70.6333,147.9167,-5.24,99,100,6.42,RU,1619113862
64,Bonthe,7.5264,-12.505,84.87,70,94,12.68,SL,1619113863
65,Lebu,-37.6167,-73.65,57.09,59,19,7.05,CL,1619113863
66,East London,-33.0153,27.9116,66.2,88,0,6.91,ZA,1619113863
67,Barrow,71.2906,-156.7887,14.0,73,1,8.05,US,1619113793
68,Hithadhoo,-0.6,73.0833,82.92,72,74,7.72,MV,1619113864
69,Saint George,37.1041,-113.5841,69.01,24,1,5.75,US,1619113864
70,Salinópolis,-0.6136,-47.3561,77.13,87,100,5.99,BR,1619113864
71,Mataura,-46.1927,168.8643,48.0,96,100,3.0,NZ,1619113864
72,Saint Anthony,45.0205,-93.218,62.01,26,1,12.66,US,1619113865
73,Olinda,-8.0089,-34.8553,84.2,61,20,8.05,BR,1619113865
74,Vestmannaeyjar,63.4427,-20.2734,46.4,76,90,18.41,IS,1619113865
75,Souillac,-20.5167,57.5167,80.01,81,100,1.99,MU,1619113865
76,Linxia Chengguanzhen,35.6003,103.2064,54.28,84,87,1.21,CN,1619113866
77,New Norfolk,-42.7826,147.0587,51.01,63,33,5.99,AU,1619113866
78,Port Elizabeth,-33.918,25.5701,66.2,88,0,16.11,ZA,1619113866
79,Iqaluit,63.7506,-68.5145,19.4,73,90,3.44,CA,1619113867
80,Hermanus,-34.4187,19.2345,66.99,73,19,7.58,ZA,1619113867
81,Diamantino,-14.4086,-56.4461,90.99,36,16,1.63,BR,1619113867
82,Peleduy,59.6289,112.7406,22.89,87,74,8.57,RU,1619113867
83,Sørland,67.667,12.6934,37.4,65,40,13.8,NO,1619113868
84,Canatlán,24.5167,-104.7833,75.0,13,20,23.02,MX,1619113868
85,Lavrentiya,65.5833,-171.0,23.47,61,72,2.08,RU,1619113868
86,Praia da Vitória,38.7333,-27.0667,62.01,88,75,29.33,PT,1619113869
87,Jorochito,-18.05,-63.4333,84.2,70,40,17.27,BO,1619113869
88,Praia,14.9215,-23.5087,77.0,57,40,21.85,CV,1619113869
89,Thompson,55.7435,-97.8558,28.4,74,90,14.97,CA,1619113869
90,Skibbereen,51.55,-9.2667,48.2,66,0,18.41,IE,1619113870
91,Bredasdorp,-34.5322,20.0403,60.8,88,6,13.8,ZA,1619113870
92,Krasnosel'kup,65.7,82.4667,28.17,94,96,15.05,RU,1619113870
93,Lorengau,-2.0226,147.2712,81.32,81,100,8.3,PG,1619113870
94,Shingū,33.7333,135.9833,54.52,54,30,6.31,JP,1619113871
95,Sartell,45.6216,-94.2069,60.01,26,1,11.5,US,1619113595
96,Kotapārh,19.15,82.35,87.35,31,97,1.41,IN,1619113871
97,Kunda,25.7167,81.5167,82.45,23,12,7.92,IN,1619113871
98,Cidreira,-30.1811,-50.2056,72.18,65,3,14.36,BR,1619113872
99,Atuona,-9.8,-139.0333,80.74,74,77,21.72,PF,1619113872
100,Black River,18.0264,-77.8487,84.2,61,20,12.66,JM,1619113872
101,Severo-Kuril'sk,50.6789,156.125,34.23,95,97,6.29,RU,1619113872
102,Vangaindrano,-23.35,47.6,71.56,88,51,2.35,MG,1619113873
103,Katsuura,35.1333,140.3,52.0,64,3,3.0,JP,1619113644
104,Cayenne,4.9333,-52.3333,84.2,74,40,9.22,GF,1619113873
105,Sterling,39.0062,-77.4286,50.0,34,75,17.27,US,1619113730
106,Whitehorse,60.7161,-135.0538,37.0,40,1,2.3,CA,1619113873
107,Saint-Philippe,-21.3585,55.7679,78.8,83,75,17.27,RE,1619113874
108,Boké,10.9409,-14.2967,90.88,39,79,13.0,GN,1619113874
109,Husavik,66.0449,-17.3389,41.0,81,40,12.66,IS,1619113874
110,Vostok,46.4856,135.8833,44.2,54,78,4.29,RU,1619113874
111,Tasiilaq,65.6145,-37.6368,30.2,51,90,3.44,GL,1619113875
112,Hare Bay,48.8499,-54.0148,59.0,44,98,10.36,CA,1619113875
113,Okha,53.5739,142.9478,34.72,82,81,9.48,RU,1619113875
114,Arbazh,57.6804,48.3065,39.38,94,53,4.79,RU,1619113876
115,Saint-Pierre,-21.3393,55.4781,78.8,83,75,17.27,RE,1619113876
116,Lexington,37.9887,-84.4777,51.01,37,75,19.57,US,1619113858
117,Kahului,20.8947,-156.47,72.0,88,20,3.44,US,1619113876
118,Miles City,46.4083,-105.8406,50.0,37,1,6.91,US,1619113877
119,Kununurra,-15.7667,128.7333,77.0,50,40,5.75,AU,1619113877
120,Klamath Falls,42.2249,-121.7817,57.0,37,1,6.91,US,1619113636
121,Kosino,58.4127,51.2782,42.39,87,100,10.96,RU,1619113877
122,Gorontalo,0.5412,123.0595,74.73,92,13,2.13,ID,1619113641
123,Pont-Saint-Esprit,44.2549,4.6474,69.8,37,63,5.75,FR,1619113878
124,Kapaa,22.0752,-159.319,73.99,88,20,5.75,US,1619113878
125,Pāthardi,19.1667,75.1833,87.76,18,71,5.17,IN,1619113873
126,Cherskiy,68.75,161.3,27.63,97,100,12.41,RU,1619113878
127,High Level,58.5169,-117.136,32.0,47,75,11.5,CA,1619113879
128,Shache,38.4167,77.2406,55.29,11,35,14.23,CN,1619113879
129,Mar del Plata,-38.0023,-57.5575,73.4,68,75,10.36,AR,1619113751
130,Victoria Falls,-17.9235,25.843,66.54,61,16,5.75,ZW,1619113879
131,Cockburn Town,21.4612,-71.1419,82.4,65,40,11.5,TC,1619113880
132,Narsaq,60.9167,-46.05,53.6,26,40,17.27,GL,1619113880
133,Hasaki,35.7333,140.8333,50.0,66,20,12.66,JP,1619113880
134,Arraial do Cabo,-22.9661,-42.0278,77.0,78,40,17.27,BR,1619113870
135,Faya,18.3851,42.4509,69.8,49,0,6.91,SA,1619113881
136,Ola,59.5833,151.2833,28.4,98,100,2.06,RU,1619113881
137,Patancheru,17.5314,78.265,81.0,57,75,2.3,IN,1619113881
138,Port Blair,11.6667,92.75,81.05,73,12,3.31,IN,1619113882
139,Anshun,26.25,105.9333,66.27,90,19,14.7,CN,1619113882
140,Bethel,41.3712,-73.414,45.0,33,75,10.36,US,1619113882
141,San Andrés,12.5847,-81.7006,86.0,66,20,14.97,CO,1619113882
142,Lagos,6.5833,3.75,87.8,70,40,5.75,NG,1619113594
143,Sibolga,1.7427,98.7792,76.73,88,100,2.64,ID,1619113883
144,Bengbu,32.9408,117.3608,59.4,92,100,4.81,CN,1619113883
145,Upernavik,72.7868,-56.1549,28.58,80,100,11.56,GL,1619113883
146,Ipixuna,-1.7625,-48.8043,75.2,94,75,4.61,BR,1619113884
147,Talnakh,69.4865,88.3972,30.81,95,100,9.42,RU,1619113884
148,Teknāf,20.8624,92.3058,77.59,89,11,6.98,BD,1619113884
149,Torbay,47.6666,-52.7314,53.6,40,90,21.85,CA,1619113885
150,Ancud,-41.8697,-73.8203,53.01,100,90,14.97,CL,1619113885
151,La Chapelle-sur-Erdre,47.2958,-1.5531,68.0,42,0,16.11,FR,1619113885
152,Coyhaique,-45.5752,-72.0662,51.8,62,75,5.75,CL,1619113885
153,Bethal,-26.4579,29.4655,64.0,55,61,3.29,ZA,1619113886
154,Bilibino,68.0546,166.4372,7.59,89,87,1.97,RU,1619113886
155,Vila Velha,-20.3297,-40.2925,82.0,69,40,11.5,BR,1619113880
156,Mount Gambier,-37.8333,140.7667,50.0,100,75,8.05,AU,1619113886
157,Rockport,28.0206,-97.0544,73.4,78,90,16.11,US,1619113887
158,Isangel,-19.55,169.2667,76.95,89,68,7.47,VU,1619113887
159,Gunjur,13.2019,-16.7339,82.4,57,0,10.36,GM,1619113887
160,Longyearbyen,78.2186,15.6401,17.6,73,75,5.75,SJ,1619113888
161,Port Hardy,50.6996,-127.4199,50.0,81,75,9.22,CA,1619113888
162,Ouadda,8.0777,22.4007,79.47,46,84,5.5,CF,1619113888
163,Mysłowice,50.2075,19.1667,46.99,99,42,8.77,PL,1619113876
164,Sangar,63.9242,127.4739,-1.41,99,77,1.99,RU,1619113888
165,Ruteng,-8.6136,120.4721,61.38,93,55,3.0,ID,1619113889
166,Bathsheba,13.2167,-59.5167,86.0,54,40,20.71,BB,1619113889
167,Hong Kong,22.2855,114.1577,77.0,83,0,1.01,HK,1619113873
168,Novobirilyussy,56.9514,90.6661,22.3,94,9,2.46,RU,1619113889
169,Kytmanovo,53.4593,85.4479,29.26,79,25,9.6,RU,1619113890
170,Fort Nelson,58.8053,-122.7002,33.8,51,75,3.44,CA,1619113890
171,Mahébourg,-20.4081,57.7,80.01,81,100,1.99,MU,1619113890
172,Ilulissat,69.2167,-51.1,30.2,69,75,5.44,GL,1619113890
173,Beringovskiy,63.05,179.3167,11.91,88,51,5.79,RU,1619113891
174,Khandyga,62.6667,135.6,5.18,98,89,1.34,RU,1619113891
175,Coquimbo,-29.9533,-71.3436,60.8,82,90,11.5,CL,1619113875
176,Santa Maria,-29.6842,-53.8069,82.4,47,20,8.05,BR,1619113891
177,Santa Vitória do Palmar,-33.5189,-53.3681,73.35,56,12,13.82,BR,1619113892
178,Aquin,18.2833,-73.4,82.78,61,26,5.97,HT,1619113892
179,Paita,-5.0892,-81.1144,86.0,51,0,16.11,PE,1619113892
180,Laem Sing,12.4816,102.0738,84.0,94,99,7.81,TH,1619113893
181,Saskylakh,71.9167,114.0833,6.58,97,96,5.28,RU,1619113893
182,Kiryat Gat,31.61,34.7642,66.0,38,2,1.99,IL,1619113864
183,Pervomayskoye,43.919,46.7102,55.99,65,100,5.01,RU,1619113893
184,Pevek,69.7008,170.3133,16.59,67,88,11.86,RU,1619113893
185,Nizhniy Tsasuchey,50.5167,115.1333,36.09,27,70,16.02,RU,1619113894
186,North Platte,41.1239,-100.7654,48.99,49,90,19.57,US,1619113894
187,Beloha,-25.1667,45.05,70.34,79,10,18.14,MG,1619113894
188,San Quintín,30.4833,-115.95,61.21,63,91,12.97,MX,1619113894
189,Masuguru,-11.3667,38.4167,71.67,95,18,3.38,TZ,1619113895
190,Moree,-29.4667,149.85,44.6,70,0,7.92,AU,1619113895
191,Flinders,-34.5833,150.8552,57.0,59,0,5.01,AU,1619113895
192,Igarka,67.4667,86.5833,32.07,97,100,11.95,RU,1619113896
193,Cabo San Lucas,22.8909,-109.9124,82.99,28,40,9.22,MX,1619113697
194,Khatanga,71.9667,102.5,10.58,96,77,3.94,RU,1619113896
195,Puerto Ayacucho,5.6639,-67.6236,95.09,38,12,1.97,VE,1619113896
196,Ponta do Sol,32.6667,-17.1,66.0,90,100,1.99,PT,1619113896
197,Flin Flon,54.7682,-101.865,23.0,86,90,16.11,CA,1619113897
198,Tazovsky,67.4667,78.7,34.18,94,100,17.49,RU,1619113897
199,Anito,12.4497,125.2886,75.7,91,86,4.27,PH,1619113897
200,Kruisfontein,-34.0033,24.7314,66.99,81,1,4.0,ZA,1619113898
201,Mayo,38.8876,-76.5119,52.0,36,75,11.5,US,1619113898
202,Comodoro Rivadavia,-45.8667,-67.5,55.4,50,75,5.75,AR,1619113886
203,Doha,25.2867,51.5333,89.6,48,0,6.91,QA,1619113898
204,Egvekinot,66.3167,-179.1667,22.08,48,30,3.38,RU,1619113898
205,Berlevåg,70.8578,29.0864,37.4,65,20,13.8,NO,1619113899
206,Saint-Augustin,51.226,-58.6502,45.18,74,100,22.64,CA,1619113899
207,Aksaray,38.3726,34.0254,55.4,44,0,4.61,TR,1619113899
208,Dwārka,22.2394,68.9678,81.05,80,0,13.2,IN,1619113900
209,Yellowknife,62.456,-114.3525,17.6,49,75,24.16,CA,1619113900
210,George Town,5.4112,100.3354,81.0,94,40,5.1,MY,1619113900
211,Umm Kaddadah,13.6017,26.6876,88.79,13,39,10.71,SD,1619113900
212,Bhag,29.0415,67.8239,92.7,9,0,9.98,PK,1619113901
213,Ishigaki,24.3448,124.1572,74.25,91,100,20.65,JP,1619113901
214,Fortuna,40.5982,-124.1573,48.99,100,75,11.5,US,1619113901
215,Puerto Baquerizo Moreno,-0.9,-89.6,84.2,65,20,17.27,EC,1619113901
216,Port Augusta,-32.5,137.7667,59.0,77,75,6.91,AU,1619113902
217,Petukhovo,55.0692,67.9019,41.43,44,89,13.87,RU,1619113902
218,Prince Rupert,54.3161,-130.3201,46.4,81,1,3.44,CA,1619113902
219,San Patricio,28.017,-97.5169,73.4,73,90,12.66,US,1619113903
220,Mitú,1.1983,-70.1733,92.14,47,63,2.75,CO,1619113903
221,Fontem,5.4685,9.8818,71.78,87,93,0.96,CM,1619113708
222,Broome,42.2506,-75.833,37.0,74,90,19.57,US,1619113903
223,Msanga,-6.05,36.0333,73.4,68,20,9.22,TZ,1619113903
224,Najrān,17.4924,44.1277,82.4,14,0,6.91,SA,1619113904
225,Biak,-0.9131,122.8766,76.28,85,84,5.53,ID,1619113904
226,Savinka,50.0785,47.0994,53.89,69,67,7.78,RU,1619113904
227,Raahe,64.6833,24.4833,36.0,86,0,5.75,FI,1619113904
228,Taber,49.8167,-112.1518,30.2,86,100,20.71,CA,1619113905
229,Olafsvik,64.8945,-23.7142,42.46,89,100,18.88,IS,1619113905
230,Karpogory,64.0019,44.4451,38.68,91,100,9.33,RU,1619113905
231,Clyde River,70.4692,-68.5914,19.4,63,1,11.5,CA,1619113906
232,Atar,20.5169,-13.0499,96.66,6,0,10.25,MR,1619113906
233,Ikorodu,6.6191,3.5041,87.8,70,40,5.75,NG,1619113906
234,Salalah,17.0151,54.0924,80.47,69,5,3.76,OM,1619113906
235,Dikson,73.5069,80.5464,31.89,90,96,20.87,RU,1619113907
236,Ketchikan,55.3422,-131.6461,48.2,43,1,11.5,US,1619113907
237,Camacupa,-12.0167,17.4833,67.73,68,95,3.06,AO,1619113907
238,Yulara,-25.2406,130.9889,59.0,55,0,9.22,AU,1619113907
239,Norman Wells,65.282,-126.8329,23.0,42,75,12.66,CA,1619113908
240,Kupang,-10.1667,123.5833,76.06,84,20,5.44,ID,1619113908
241,Port Hedland,-20.3167,118.5667,69.8,35,6,6.91,AU,1619113908
242,Vilyuysk,63.7553,121.6247,21.51,91,99,9.57,RU,1619113909
243,Makakilo City,21.3469,-158.0858,75.0,78,1,4.61,US,1619113909
244,Tokmak,47.2514,35.7058,51.46,78,100,9.08,UA,1619113909
245,Burns Lake,54.2331,-125.7533,37.4,38,15,2.3,CA,1619113909
246,Sola,-13.8833,167.55,82.92,75,98,14.0,VU,1619113910
247,Karratha,-20.7377,116.8463,77.95,25,4,8.57,AU,1619113910
248,Grand-Santi,4.25,-54.3833,81.16,89,74,4.18,GF,1619113785
249,Chardara,41.2547,67.9692,51.49,53,0,11.32,KZ,1619113910
250,Puerto Escondido,15.85,-97.0667,86.0,79,40,8.05,MX,1619113706
251,Utete,-7.986,38.758,73.13,95,39,2.46,TZ,1619113911
252,Deputatsky,69.3,139.9,-7.33,99,94,2.37,RU,1619113911
253,Jaltenango,15.8719,-92.7247,93.69,33,43,4.65,MX,1619113911
254,Calabozo,8.9242,-67.4293,98.17,27,4,7.9,VE,1619113911
255,Butaritari,3.0707,172.7902,81.5,75,95,8.86,KI,1619113912
256,Nome,64.5011,-165.4064,35.6,55,1,8.05,US,1619113912
257,Presidente Olegário,-18.4178,-46.4181,82.99,42,0,4.16,BR,1619113912
258,Kennett,36.2362,-90.0556,55.4,35,1,5.75,US,1619113913
259,Guerrero Negro,27.9769,-114.0611,64.81,53,84,13.62,MX,1619113615
260,Anloga,5.7947,0.8973,86.0,70,20,11.5,GH,1619113913
261,Mataram,-8.5833,116.1167,73.4,88,40,4.25,ID,1619113913
262,Mattawa,46.7379,-119.9028,59.0,35,65,11.01,US,1619113913
263,Talcahuano,-36.7167,-73.1167,60.8,72,0,9.22,CL,1619113914
264,Mehamn,71.0357,27.8492,37.4,60,75,12.66,NO,1619113914
265,Ust-Tsilma,65.441,52.1498,38.82,88,100,9.44,RU,1619113914
266,Montrose,38.4166,-108.2673,59.0,17,75,16.11,US,1619113915
267,Hay River,60.8156,-115.7999,24.8,58,100,13.8,CA,1619113915
268,Mason,39.3601,-84.3099,51.01,53,1,17.27,US,1619113682
269,Sioux Lookout,50.1001,-91.917,53.6,35,40,8.05,CA,1619113915
270,Bakel,14.905,-12.4568,104.99,8,63,6.58,SN,1619113915
271,Camacha,33.0833,-16.3333,71.6,73,40,11.5,PT,1619113916
272,Sinjai,-5.1241,120.253,73.51,88,94,4.03,ID,1619113916
273,Archena,38.1163,-1.3004,64.4,72,40,4.61,ES,1619113916
274,Tarbagatay,51.4803,107.3602,28.4,54,75,4.47,RU,1619113917
275,Alta,69.9689,23.2717,35.6,55,0,6.91,NO,1619113917
276,Oeiras do Pará,-2.0031,-49.8544,78.73,93,79,6.33,BR,1619113917
277,Kamenka,51.3223,42.7678,51.01,72,90,4.63,RU,1619113917
278,Port-Gentil,-0.7193,8.7815,79.21,81,98,13.89,GA,1619113918
279,Sinazongwe,-17.2614,27.4618,72.93,63,5,4.5,ZM,1619113918
280,Manggar,-2.8833,108.2667,81.14,73,66,6.55,ID,1619113918
281,Pisco,-13.7,-76.2167,66.2,88,75,10.36,PE,1619113919
282,Wajir,1.7471,40.0573,84.2,65,75,9.22,KE,1619113919
283,Sobolevo,54.4299,31.8996,47.14,85,60,8.19,RU,1619113919
284,Sovetskiy,61.3614,63.5842,47.68,58,99,7.67,RU,1619113919
285,Lerwick,60.1545,-1.1494,46.4,66,40,10.36,GB,1619113920
286,Gigmoto,13.7796,124.39,78.49,89,93,6.62,PH,1619113920
287,Maceió,-9.6658,-35.7353,87.8,66,40,11.5,BR,1619113792
288,Matiri,-10.75,34.9,59.16,91,50,3.78,TZ,1619113920
289,Morón,-34.6534,-58.6198,78.01,57,0,10.36,AR,1619113872
290,Key Largo,25.0865,-80.4473,82.0,79,10,7.63,US,1619113921
291,Leningradskiy,69.3833,178.4167,25.03,69,91,4.63,RU,1619113921
292,Sungai Penuh,-2.0833,101.3833,64.9,97,100,1.21,ID,1619113921
293,Mahibadhoo,3.7833,72.9667,82.78,75,41,11.86,MV,1619113922
294,Qaanaaq,77.484,-69.3632,23.11,80,100,7.81,GL,1619113922
295,Lata,40.1629,-8.3327,66.99,67,20,5.75,PT,1619113922
296,Nhlangano,-27.1167,31.2,57.09,89,43,1.28,SZ,1619113922
297,Dingle,10.9995,122.6711,77.43,86,49,6.22,PH,1619113923
298,Mwinilunga,-11.7358,24.4293,67.28,75,100,3.87,ZM,1619113923
299,Genhe,50.7833,121.5167,33.98,70,60,9.75,CN,1619113923
300,Ontario,34.0633,-117.6509,60.01,82,90,4.61,US,1619113924
301,Kashan,33.9831,51.4364,81.93,23,75,11.1,IR,1619113924
302,Pierre,44.3683,-100.351,55.0,35,90,20.71,US,1619113740
303,Los Arabos,22.7281,-80.7214,95.34,30,24,11.21,CU,1619113924
304,Chumikan,54.7183,135.315,30.11,96,100,2.51,RU,1619113925
305,Luwuk,-0.9516,122.7875,76.91,87,95,4.63,ID,1619113925
306,Sarangani,5.4033,125.4636,82.76,76,6,15.97,PH,1619113925
307,Bandarbeyla,9.4942,50.8122,83.77,74,32,9.75,SO,1619113912
308,Sarakhs,36.5449,61.1577,71.6,14,0,11.5,IR,1619113925
309,Channel-Port aux Basques,47.5702,-59.1367,41.47,97,100,30.18,CA,1619113926
310,Ulladulla,-35.35,150.4667,53.6,54,0,12.66,AU,1619113926
311,Vardø,70.3705,31.1107,33.8,93,75,18.41,NO,1619113926
312,Guajará,-2.9667,-57.6667,85.95,72,80,2.35,BR,1619113926
313,Alta Floresta,-9.8756,-56.0861,89.6,55,75,3.44,BR,1619113927
314,Tautira,-17.7333,-149.15,78.8,78,20,4.61,PF,1619113927
315,Shediac,46.2198,-64.5411,44.6,70,40,27.63,CA,1619113927
316,Chapais,49.7834,-74.8492,26.6,59,90,13.8,CA,1619113928
317,College,64.8569,-147.8028,43.0,44,1,4.61,US,1619113928
318,Buraidah,26.326,43.975,89.6,17,20,8.05,SA,1619113922
319,Sinnamary,5.3833,-52.95,79.86,87,71,13.24,GF,1619113928
320,Esperance,-33.8667,121.9,53.6,94,100,5.75,AU,1619113928
321,Bilma,18.6853,12.9164,94.44,10,13,6.04,NE,1619113929
322,Tommot,58.9564,126.2925,9.18,97,79,3.22,RU,1619113929
323,Angoche,-16.2325,39.9086,78.24,76,76,9.62,MZ,1619113929
324,Provideniya,64.3833,-173.3,32.67,44,39,6.55,RU,1619113930
325,Nishihara,26.1842,127.7558,71.6,100,90,19.57,JP,1619113930
326,Oddur,4.1213,43.8894,80.24,64,95,10.0,SO,1619113930
327,San Jerónimo,-11.9472,-75.2829,62.83,44,21,4.16,PE,1619113930
328,Qui Nhon,13.7667,109.2333,77.99,90,98,3.62,VN,1619113931
329,Yanji,42.9075,129.5078,45.59,71,100,3.22,CN,1619113931
330,Port Lincoln,-34.7333,135.8667,60.21,72,100,8.99,AU,1619113931
331,Jāmtāra,23.95,86.8,83.64,27,76,4.05,IN,1619113932
332,Chul'man,56.8479,124.9104,6.75,97,52,3.98,RU,1619113932
333,Saint-Louis,16.3333,-15.0,105.8,15,0,9.28,SN,1619113932
334,Mindelo,16.8901,-24.9804,77.0,53,40,28.77,CV,1619113932
335,Hamilton,39.1834,-84.5333,51.01,40,90,13.8,US,1619113933
336,Soe,-9.8607,124.284,63.09,94,37,2.93,ID,1619113933
337,Rengo,-34.4167,-70.8667,62.6,63,75,6.91,CL,1619113917
338,Plettenberg Bay,-34.0527,23.3716,65.82,87,0,10.83,ZA,1619113933
339,Buchanan,5.8808,-10.0467,87.8,70,75,11.5,LR,1619113934
340,Vao,-22.6667,167.4833,73.85,79,49,7.72,NC,1619113934
341,Hualmay,-11.0964,-77.6139,73.11,72,35,9.53,PE,1619113955
342,Port Macquarie,-31.4333,152.9167,46.0,83,0,9.04,AU,1619113956
343,Kirakira,-10.4544,161.9205,79.74,84,94,6.15,SB,1619113956
344,Colonia Carlos Antonio López,-26.4,-54.7667,84.69,29,14,3.76,PY,1619113956
345,Konolfingen,46.8791,7.6201,59.0,47,40,8.05,CH,1619113956
346,Vitória da Conquista,-14.8661,-40.8394,76.42,66,98,2.75,BR,1619113910
347,Hofn,64.2539,-15.2082,39.7,77,78,11.41,IS,1619113957
348,Andenes,69.3143,16.1194,35.6,80,75,8.05,NO,1619113957
349,Korem,12.5058,39.5228,62.56,38,90,4.65,ET,1619113957
350,Ninotsminda,41.2646,43.5916,53.6,58,53,9.22,GE,1619113958
351,Gallup,35.5281,-108.7426,57.2,24,20,23.02,US,1619113958
352,Altamirano,16.8833,-92.15,76.86,41,51,5.32,MX,1619113958
353,Rzhev,56.2624,34.3282,48.33,80,81,8.88,RU,1619113958
354,Bambous Virieux,-20.3428,57.7575,80.01,81,100,1.99,MU,1619113959
355,Mangochi,-14.4782,35.2645,68.95,90,33,7.18,MW,1619113959
356,Kualakapuas,-3.0091,114.3876,75.2,100,52,2.3,ID,1619113959
